angle,class,distance,figure_count,height,position,token
2.4158145928311527,1.0,0.001167679778677,1.0,0.0095541401273885,0.4018046709129512,total
2.510243724346016,1.0,0.0010947216517519,4.0,0.0182440136830102,0.4424173318129988,total
2.135746714294233,0.0,0.0011609592023929,1.0,0.0109051254089422,0.7633587786259542,total
3.0451712700873608,1.0,0.0007433309519037,4.0,0.0186813186813186,0.2576923076923076,total
3.1309169026023205,1.0,0.0001327867244367,4.0,0.0070028011204481,0.3669467787114845,pin
2.919741538663829,0.0,0.0004663399622013,1.0,0.0087390761548064,0.482521847690387,pin
3.133994015645325,1.0,0.000526759065667,5.0,0.0224514563106796,0.4857402912621359,total
3.016082776969537,1.0,0.0005899736150124,4.0,0.0203761755485893,0.3166144200626959,total
1.9667361823793408,0.0,0.000594288406307,2.0,0.0112482853223593,0.7381344307270233,pin
2.8218301681444964,0.0,0.0002120092136206,5.0,0.0087209302325581,0.5237403100775194,total
1.8024453128851712,0.0,0.0009380786746183,1.0,0.009313154831199,0.9708963911525028,subtota
2.964820058594481,0.0,0.0008614647298992,2.0,0.0370919881305637,0.6758160237388724,subtota
1.97849265419466,0.0,0.0015750068392292,2.0,0.0115452930728241,0.7233570159857904,total
3.110441260948184,1.0,0.0009298289379188,4.0,0.0142487046632124,0.3866580310880829,total
1.9801495238873967,0.0,0.0012204904755681,1.0,0.0136698212407991,0.9006309148264984,pin
3.1300101599811367,1.0,0.00030147535393,2.0,0.0157699443413729,0.0774582560296846,total
2.124329829342956,0.0,0.00020736285867,4.0,0.0066225165562913,0.4110690633869441,subtota
1.5627319854881296,0.0,0.0003266530535601,1.0,0.0097465886939571,0.4941520467836257,total
3.1265335510797447,1.0,0.0001073180158979,3.0,0.0109839816933638,0.1272311212814645,pin
2.284011164367446,1.0,0.0006997810508256,2.0,0.0333525014376078,0.2202415181138585,pin
2.449816704741416,1.0,0.001061021752565,3.0,0.0117270788912579,0.3662046908315565,total
3.13095475701426,1.0,0.0002622009098371,1.0,0.010392609699769,0.3331408775981524,total
2.067336217366866,1.0,0.0008605247315456,4.0,0.0123574144486692,0.089828897338403,subtota
2.1587989303424644,1.0,0.0001512789488545,3.0,0.0176817288801571,0.3290766208251473,pin
1.2853473853812372,0.0,0.0005605962862351,1.0,0.0099502487562189,0.4746268656716418,total
0.9391236017275554,0.0,0.0006105005895671,1.0,0.0106382978723404,0.4663120567375886,total
2.876063073092196,1.0,0.0003230630198118,4.0,0.0177897574123989,0.5097035040431267,total
3.122547337607774,1.0,0.0002125174621754,3.0,0.0084317032040472,0.2023608768971332,pin
2.1118494602337545,0.0,0.0009116748430197,1.0,0.007469654528478,0.5929038281979458,total
2.5122749907878177,0.0,0.0006430731542897,1.0,0.0075258701787394,0.2982126058325494,total
2.5095268785906675,0.0,0.0006978325687451,1.0,0.0428931875525651,0.4276703111858704,subtota
0.7410223414930422,0.0,0.0011070706807376,1.0,0.0131406044678055,0.873850197109067,total
1.7523804276863189,0.0,0.0003420680515904,3.0,0.0298850574712643,0.1063218390804597,total
2.980712021454168,1.0,0.0016415005597129,3.0,0.055327868852459,0.5420081967213115,total
2.21569538435134,0.0,0.0008362437250309,1.0,0.0106589147286821,0.8619186046511628,total
2.426143875233127,0.0,0.000722257965738,1.0,0.0223255813953488,0.1413953488372093,total
2.7794369468830915,0.0,0.000835713252035,1.0,0.0151668351870576,0.1885743174924165,total
